indicator,sex,geo_area,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Population 1 an et plus,Total,Extrême-Nord,4019528,4135278,4255223,4382399,4516673,4651567,4793409,4941867,5091927,5248999
Population 1 an et plus,Total,Littoral (Sans Douala),628910,633443,637490,641595,645654,649272,653157,656989,660207,663406
Population 1 an et plus,Total,Nord,2446188,2537739,2632276,2731730,2835914,2941769,3036740,3135983,3235904,3339830
Population 1 an et plus,Total,Nord-Ouest,2078143,2111316,2143998,2176414,2209541,2239383,2270027,2301269,2329556,2358860
Population 1 an et plus,Total,Sud,747746,759504,770998,782425,794460,805921,819287,832811,845481,859132
Population 1 an et plus,Total,Sud-Ouest,1686693,1725696,1764460,1804369,1843890,1881917,1922543,1962762,2002206,2042948
Population 1 an et plus,Total,Ouest,1931629,1956388,1980316,2004981,2028384,2050259,2074454,2097692,2119848,2143039
Population 1 an et plus,Total,Douala,2876864,2968854,3059942,3152812,3247254,3340284,3438101,3538111,3634740,3735130
Population 1 an et plus,Total,Yaoundé,2799128,2893717,2987707,3083712,3179170,3273591,3372783,3474175,3575171,3679811
Population estimée (15-49 ans),Féminin,Cameroun,5858337,6027271,6197922,6388552,6521425,6723024,6908721,7093511,7302626,7400713
Population estimée (15-49 ans),Féminin,Adamaoua,299168,308851,319394,330041,336941,347526,358313,369071,381251,385276
Population estimée (15-49 ans),Féminin,Centre (Sans Yaoundé),333204,340809,348647,358914,369672,379119,387341,396518,406330,414406
Population estimée (15-49 ans),Féminin,Est,249147,257810,266847,276257,284374,293895,302820,311632,321460,327512
Population estimée (15-49 ans),Féminin,Extrême-Nord,951844,984528,1019077,1055448,1066438,1101851,1138788,1173003,1214694,1216822
Population estimée (15-49 ans),Féminin,Littoral (Sans Douala),153940,154794,155771,156741,156776,158076,158781,159729,161170,161152
Population estimée (15-49 ans),Féminin,Nord,615618,643262,669708,696578,713304,742289,766374,789619,816275,822830
Population estimée (15-49 ans),Féminin,Nord-Ouest,564817,575236,585765,597191,602587,618464,632534,646144,661779,666085
Population estimée (15-49 ans),Féminin,Sud,169746,173339,177004,185436,194680,199541,203544,207908,212409,216408
Population estimée (15-49 ans),Féminin,Sud-Ouest,467978,479480,490147,501839,508274,521986,533518,545187,558195,562998
Population estimée (15-49 ans),Féminin,Ouest,466192,471710,475856,480680,481370,491297,499731,508697,520561,526090
Population estimée (15-49 ans),Féminin,Douala,800928,825252,850583,879026,905381,937731,967671,998059,1030008,1055801
Population estimée (15-49 ans),Féminin,Yaoundé,785755,812200,839123,870401,901628,931249,959306,987944,1018494,1045333
Population estimée (15-49 ans),Total,Cameroun,13806720,14208521,14602895,15036490,15492314,15913828,16348869,16804778,17261677,17726589
Population estimée (15-49 ans),Total,Adamaoua,683237,704810,726497,748549,772744,792656,814509,837866,861823,885843
Population estimée (15-49 ans),Total,Centre (Sans Yaoundé),866870,883339,900414,921470,945859,962463,979956,998636,1016805,1035176
Population estimée (15-49 ans),Total,Est,599962,620922,642298,663407,687499,707630,728758,750418,771863,793404
Population estimée (15-49 ans),Total,Extrême-Nord,2177615,2244277,2311198,2382993,2448193,2512236,2581764,2656064,2732128,2808908
Population estimée (15-49 ans),Total,Littoral (Sans Douala),408361,410722,413235,415283,417831,419752,422092,424648,427044,429518
Population estimée (15-49 ans),Total,Nord,1391374,1451799,1509891,1568997,1630581,1689974,1740985,1794972,1849992,1906128
Population estimée (15-49 ans),Total,Nord-Ouest,1265748,1287388,1307669,1329854,1354566,1380628,1408416,1436854,1464615,1491944
Population estimée (15-49 ans),Total,Sud,461085,469267,478023,495793,516383,525955,535978,546505,556634,567062
Population estimée (15-49 ans),Total,Sud-Ouest,1109886,1139172,1166664,1195733,1224798,1254194,1285134,1317587,1349614,1382514
Population estimée (15-49 ans),Total,Ouest,1053304,1061243,1064725,1068425,1074799,1085665,1097134,1109852,1122836,1136326
Population estimée (15-49 ans),Total,Douala,1929989,2002187,2075180,2154708,2237766,2323118,2411545,2502773,2592915,2685110
Population estimée (15-49 ans),Total,Yaoundé,1859289,1933395,2007101,2091278,2181295,2259557,2342598,2428603,2515408,2604656
