indicator,sex,geo_area,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Enfants de 0-59 mois,Total,Nord,468164,486744,505338,530024,550954,571883,591930,611112,629269,645041
Enfants de 0-59 mois,Total,Nord-Ouest,329617,330558,330540,328531,329473,329672,329607,328892,328053,328421
Enfants de 0-59 mois,Total,Sud,105998,106688,106823,106492,107805,109985,111900,114040,116529,119225
Enfants de 0-59 mois,Total,Sud-Ouest,237310,240943,244069,243648,246334,248923,249908,251097,253606,255848
Enfants de 0-59 mois,Total,Ouest,377910,382829,386874,390261,393419,396958,398832,401224,405471,409992
Enfants de 0-59 mois,Total,Douala,361674,361048,361880,356822,358564,363222,368838,372907,378107,384786
Enfants de 0-59 mois,Total,Yaoundé,357697,362714,367270,369638,372663,376185,380410,385470,393898,400625
Enfants de 0-2 ans,Total,Cameroun,2331297,2366106,2413857,2468933,2516123,2561529,2606181,2652809,2708506,2686376
Enfants de 0-2 ans,Total,Adamaoua,128504,131237,135376,139206,142626,145811,149575,153709,157463,161041
Enfants de 0-2 ans,Total,Centre (Sans Yaoundé),142346,144415,145363,147601,149048,151524,152710,154759,155658,158036
Enfants de 0-2 ans,Total,Est,97904,98566,100097,102021,104019,105963,107484,109225,112319,115234
Enfants de 0-2 ans,Total,Extrême-Nord,521770,540573,560207,583530,603618,620717,637144,655274,676495,695618
Enfants de 0-2 ans,Total,Littoral (Sans Douala),54801,55045,55235,55468,55638,55714,55757,55788,55823,55346
Enfants de 0-2 ans,Total,Nord,297048,312776,325615,340209,353331,365184,376443,387877,399681,408067
Enfants de 0-2 ans,Total,Nord-Ouest,201790,198973,199558,201800,201801,201109,200167,199084,200184,200662
Enfants de 0-2 ans,Total,Sud,65719,64961,65150,65813,66693,68846,70314,71213,72441,
Enfants de 0-2 ans,Total,Sud-Ouest,148260,147436,149918,151310,152323,153186,153610,154414,155858,158125
Enfants de 0-2 ans,Total,Ouest,234489,237628,240583,242160,243345,244887,246241,248135,250669,254725
Enfants de 0-2 ans,Total,Douala,220503,213695,213250,215570,218275,221581,225451,227343,230243,234105
Enfants de 0-2 ans,Total,Yaoundé,218163,220801,223505,224245,225406,227007,231285,235988,241672,245417
Enfants de 0-14 ans,Féminin,Cameroun,4892028,4997268,5110074,5212378,5313763,5420959,5530645,5637027,5745954,5867428
Enfants de 0-14 ans,Féminin,Adamaoua,265770,272586,279488,286760,293536,301770,310496,319187,327442,336840
Enfants de 0-14 ans,Féminin,Centre (Sans Yaoundé),313111,318148,322722,325756,327119,331986,336639,341174,345470,350953
Enfants de 0-14 ans,Féminin,Est,221735,223914,226096,228390,229967,232490,235299,238479,242082,246094
Enfants de 0-14 ans,Féminin,Extrême-Nord,991261,1018543,1048181,1079828,1117981,1155536,1194968,1234818,1275881,1320756
Enfants de 0-14 ans,Féminin,Littoral (Sans Douala),118033,119161,120151,121373,122343,123235,124038,124679,125177,125560
Enfants de 0-14 ans,Féminin,Nord,581594,599763,621164,644724,669105,694498,718851,743297,768208,794273
Enfants de 0-14 ans,Féminin,Nord-Ouest,443610,450406,456900,462973,467431,468765,470469,471102,471921,473836
Enfants de 0-14 ans,Féminin,Sud,153798,155613,157075,154329,150534,152033,153819,155318,157161,159541
Enfants de 0-14 ans,Féminin,Sud-Ouest,313303,318780,325460,330869,336986,341712,346264,350554,354997,359856
Enfants de 0-14 ans,Féminin,Ouest,482571,491778,503198,514136,524065,530452,536760,542800,548601,555322
Enfants de 0-14 ans,Féminin,Douala,501832,512218,522305,529996,537109,541819,547370,551311,556010,562533
Enfants de 0-14 ans,Féminin,Yaoundé,505410,516358,527334,533244,537587,546663,555672,564308,573004,581864
Enfants de 0-15 ans,Total,Cameroun,10351573,10578489,10797474,11030655,11239753,11425888,11662412,11897256,12125251,12352869
Enfants de 0-15 ans,Total,Adamaoua,552174,563720,577346,590959,605313,617377,635898,654431,671564,688693
Enfants de 0-15 ans,Total,Centre (Sans Yaoundé),651813,664618,673318,682056,687041,689308,698921,709162,717691,727307
Enfants de 0-15 ans,Total,Est,470633,476147,480493,484485,489895,491305,497575,504522,511942,519053
Enfants de 0-15 ans,Total,Extrême-Nord,2143119,2195460,2258347,2327100,2395202,2471171,2555431,2641513,2727851,2814784
Enfants de 0-15 ans,Total,Littoral (Sans Douala),252514,255006,257139,258854,261004,262366,264210,265778,266891,267275
Enfants de 0-15 ans,Total,Nord,1228140,1265291,1305375,1351720,1400609,1449550,1501005,1553070,1604811,1654870
Enfants de 0-15 ans,Total,Nord-Ouest,925465,938733,950555,963916,974381,979368,984266,986807,989099,991287
Enfants de 0-15 ans,Total,Sud,322779,328789,332176,335403,330104,322247,325920,329368,332893,337185
Enfants de 0-15 ans,Total,Sud-Ouest,663088,674942,686121,697976,709043,719321,729234,739317,748491,757544
Enfants de 0-15 ans,Total,Ouest,1005297,1027012,1045161,1066038,1087026,1104630,1117308,1130850,1143231,1155135
Enfants de 0-15 ans,Total,Douala,1069542,1094861,1115582,1135801,1151480,1163772,1176232,1186430,1195779,1207865
Enfants de 0-15 ans,Total,Yaoundé,1067009,1093910,1115861,1136347,1148655,1155473,1176412,1196008,1215008,1231871
Enfants de 12-23 mois,Total,Cameroun,766851,776308,797907,814714,831280,845591,859363,875897,891906,914829
Enfants de 12-23 mois,Total,Adamaoua,42043,43036,44595,46161,46903,48121,49212,50677,52248,53027
Enfants de 12-23 mois,Total,Centre (Sans Yaoundé),47299,47325,48277,48297,49520,49690,50805,50697,51674,51754
Enfants de 12-23 mois,Total,Est,32081,32175,33248,33634,34144,35307,35470,35750,37030,38532
Enfants de 12-23 mois,Total,Extrême-Nord,172208,176682,184463,191696,199767,204525,208784,215893,222282,229946
Enfants de 12-23 mois,Total,Littoral (Sans Douala),18095,18165,18238,18303,18396,18399,18406,18431,18417,18457
Enfants de 12-23 mois,Total,Nord,98968,102163,107071,111692,116582,120031,123418,127792,131235,135225
Enfants de 12-23 mois,Total,Nord-Ouest,65676,65344,66665,66337,67589,66727,65737,66676,65754,66732
Enfants de 12-23 mois,Total,Sud,21190,21398,21633,21427,22096,22669,23368,23594,23662,24566
Enfants de 12-23 mois,Total,Sud-Ouest,47770,48487,49447,50282,49962,50546,51038,50494,51369,52402
Enfants de 12-23 mois,Total,Ouest,77426,78335,79471,80442,80003,80854,81775,81394,82721,84316
Enfants de 12-23 mois,Total,Douala,71742,70000,70649,71328,72323,73387,74631,76201,75404,77539
Enfants de 12-23 mois,Total,Yaoundé,72353,73198,74150,75115,73995,75335,76719,78298,80110,82333
Population 5-14 ans,Total,Cameroun,6097236,6231235,6375100,6504582,6611946,6740817,6882408,7018956,7149078,7286679
Population 5-14 ans,Total,Adamaoua,318108,324751,332046,340506,346698,356431,367347,378204,388026,398972
Population 5-14 ans,Total,Centre (Sans Yaoundé),392546,398171,403305,404843,403898,409896,416588,422119,428121,434152
Population 5-14 ans,Total,Est,286799,288984,290442,293279,292448,294054,297199,300148,302751,306394
Population 5-14 ans,Total,Extrême-Nord,1211938,1238723,1269072,1299485,1341565,1385526,1433989,1484247,1536408,1591860
Population 5-14 ans,Total,Littoral (Sans Douala),150385,152372,153914,155685,156894,158378,159738,160868,161686,162360
Population 5-14 ans,Total,Nord,696466,714298,737019,757851,783233,812470,841000,870807,901734,934746
Population 5-14 ans,Total,Nord-Ouest,550369,562364,574423,587918,594464,597019,600819,603312,605821,607808
Population 5-14 ans,Total,Sud,203337,206476,208838,203456,194002,194672,196257,197097,198098,199451
